model,bin,bin_lower,bin_upper,n,mean_predicted,observed_prevalence
null_2025_base_rate,2,0.1,0.2,9253,0.11830666051595043,0.11931265535501999
raw_rf,1,0.0,0.1,2,0.0937510395971734,0.0
raw_rf,2,0.1,0.2,244,0.16678273743985605,0.03278688524590164
raw_rf,3,0.2,0.30000000000000004,919,0.2574054292161035,0.05331882480957562
raw_rf,4,0.30000000000000004,0.4,2070,0.35427904290132384,0.08019323671497584
raw_rf,5,0.4,0.5,2911,0.4508430428048514,0.10340089316386121
raw_rf,6,0.5,0.6000000000000001,1950,0.5440548682076188,0.15333333333333332
raw_rf,7,0.6000000000000001,0.7000000000000001,808,0.6451842091623152,0.22153465346534654
raw_rf,8,0.7000000000000001,0.8,345,0.732784948950172,0.2956521739130435
raw_rf,9,0.8,0.9,4,0.801095014794487,0.0
platt_rf,1,0.0,0.1,2843,0.08454251605449005,0.06472036581076328
platt_rf,2,0.1,0.2,5859,0.13301620414809337,0.13176309950503498
platt_rf,3,0.2,0.30000000000000004,551,0.2254056623606411,0.26860254083484575
isotonic_rf,1,0.0,0.1,2620,0.08079841015844706,0.06526717557251908
isotonic_rf,2,0.1,0.2,5883,0.13241034301502802,0.12595614482406936
isotonic_rf,3,0.2,0.30000000000000004,727,0.22331516285460418,0.2530949105914718
isotonic_rf,4,0.30000000000000004,0.4,23,0.32705969311190114,0.34782608695652173
