group,value,n,events,brier,ece,calibration_intercept,calibration_slope
gender_group,female,4174,538,0.23302437869812637,0.34639802865708463,-1.9068657916008198,0.9991893293396975
gender_group,not_coded_female,5079,566,0.20253691207993202,0.3172997530449113,-1.8906790248585974,1.0000519438581106
income_group_traincut,high,2183,153,0.14102016105022439,0.2676936800330213,-1.9422019247339313,1.0920764278453745
income_group_traincut,low,3443,548,0.27313936932738175,0.3757352786930418,-1.8759046318833648,0.993742202548834
income_group_traincut,middle,3627,403,0.20762692941084615,0.32517202902606773,-1.9100391860103902,0.8347465104557191
children_group,children,4487,487,0.19983625739847938,0.3159703502910332,-1.9109179759780532,1.0144094000715125
children_group,no_children,4766,617,0.2317799929066255,0.34403521938185266,-1.8859862262029505,0.9742572657999626
education_s,1.0,113,25,0.2587516357035701,0.3136547713617196,-1.5812180375482925,1.4418270028027838
education_s,2.0,2060,275,0.2538589789609261,0.3702411433863452,-1.9380943925792062,0.9053641312464872
education_s,3.0,2361,320,0.24895041844543372,0.3644655967240226,-1.946709101834997,1.0368443095655726
education_s,4.0,2745,303,0.2067416890272633,0.32773422755232645,-1.919052914324285,1.0472912002371295
education_s,5.0,1974,181,0.1488664778705351,0.2528659292266854,-1.702517473825684,1.1101738879512304
