moderator,term,estimate,ci_low,ci_high,n
high_commute,under_remote_planned,0.09685163652826634,0.07504088147319773,0.11866239158333494,15434
high_commute,high_commute_traincut,0.03244040753809078,-0.004463548172633211,0.06934436324881477,15434
high_commute,interaction,0.06254734746722783,0.011000961096520323,0.11409373383793533,15434
children,under_remote_planned,0.1239785956904126,0.09631748661213235,0.15163970476869285,15434
children,has_children_any,-0.005885566926799131,-0.025855636768306454,0.01408450291470819,15434
children,interaction,-0.030605714076439288,-0.06969519487840765,0.008483766725529081,15434
female,under_remote_planned,0.1090870697672988,0.08023363855314292,0.1379405009814547,15434
female,female_binary,-0.013669904921207334,-0.03296505472561828,0.005625244883203611,15434
female,interaction,0.0032725292247360246,-0.03640147544889961,0.04294653389837166,15434
low_income,under_remote_planned,0.09881981744604863,0.07659056658022238,0.12104906831187488,15434
low_income,low_income_ind,0.0216626959275799,-0.007278689963459633,0.05060408181861943,15434
low_income,interaction,0.016352325979891582,-0.018503253903188164,0.05120790586297133,15434
