method,review_capacity,reviewed_per_1000,expected_true_dissatisfied_identified,additional_vs_random,approx_false_negatives_per_1000,interpretability
random,0.05,50,5.965632767751,0.0,113.34702258726898,high
absolute_gap_rule,0.05,50,11.01511879049676,5.049486022745761,108.29753656452323,high
under_remote_directional_rule,0.05,50,11.44708423326134,5.4814514655103395,107.86557112175865,high
additive_support_rule,0.05,50,9.935205183585314,3.969572415834314,109.37745017143467,high
gender_children_excluded_rf,0.05,50,14.362850971922247,8.397218204171248,104.94980438309774,moderate
random,0.1,100,11.931265535502,0.0,107.38138981951798,high
absolute_gap_rule,0.1,100,21.490280777537798,9.559015242035798,97.82237457748218,high
under_remote_directional_rule,0.1,100,23.218142548596113,11.286877013094113,96.09451280642386,high
additive_support_rule,0.1,100,20.84233261339093,8.91106707788893,98.47032274162905,high
gender_children_excluded_rf,0.1,100,25.053995680345572,13.122730144843572,94.25865967467442,moderate
random,0.2,200,23.862531071004,0.0,95.45012428401598,high
absolute_gap_rule,0.2,200,40.30253916801729,16.44000809701329,79.0101161870027,high
under_remote_directional_rule,0.2,200,41.707185305240415,17.844654234236415,77.60547004977957,high
additive_support_rule,0.2,200,40.73473797947056,16.87220690846656,78.57791737554942,high
gender_children_excluded_rf,0.2,200,44.08427876823339,20.22174769722939,75.2283765867866,moderate
