component,term,estimate,ci_low,ci_high,p_value,n,common_center_days
coefficient,desired_centered,0.01207132918733022,0.0055719529553447285,0.01857070541931571,0.00027237082952481404,15355,2.5
coefficient,planned_centered,-0.016652300795702724,-0.023035415612746087,-0.010269185978659362,3.168078274460015e-07,15355,2.5
coefficient,desired_sq,0.0011185404251989651,-0.0025627097964451345,0.004799790646843065,0.551488525114483,15355,2.5
coefficient,desired_x_planned,-0.009391471120397602,-0.01234633074725118,-0.006436611493544023,4.682829694111235e-10,15355,2.5
coefficient,planned_sq,0.001141925756674256,-0.0031110379706122426,0.005394889483960755,0.598712689458949,15355,2.5
surface_test,congruence_line_slope,-0.004580971608372505,-0.010495519923734497,0.0013335767069894864,0.1290035292158545,15355,2.5
surface_test,congruence_line_curvature,-0.00713100493852438,-0.011247642008506836,-0.0030143678685419246,0.0006859633537496212,15355,2.5
surface_test,incongruence_line_slope,0.028723629983032944,0.017278534501991225,0.04016872546407466,8.703191107585863e-07,15355,2.5
surface_test,incongruence_line_curvature,0.011651937302270824,0.0051269247228573215,0.018176949881684328,0.00046530271437331784,15355,2.5
