reference,threshold_days,term,weighted_lpm_estimate,ci_low,ci_high,n
planned,0.5,under,0.10186537546532352,0.08413171640266406,0.11959903452798298,15355
planned,0.5,over,0.038248655083499915,0.010263997002436503,0.06623331316456332,15355
planned,1.0,under,0.10247777781424411,0.08467775526741886,0.12027780036106936,15355
planned,1.0,over,0.051143336020418,0.01958166752370391,0.08270500451713209,15355
planned,1.5,under,0.10877042154792985,0.08938034878588928,0.1281604943099704,15355
planned,1.5,over,0.022142237552942,-0.018461249413136108,0.06274572451902011,15355
planned,2.0,under,0.11451348439765724,0.09484477971748048,0.134182189077834,15355
planned,2.0,over,0.03567575359512479,-0.009993144685644745,0.08134465187589432,15355
planned,2.5,under,0.1320618206839254,0.10868214546121541,0.15544149590663542,15355
planned,2.5,over,-0.020362887401070614,-0.06492769612281321,0.02420192132067198,15355
planned,3.0,under,0.13396115617205087,0.110377083163313,0.15754522918078875,15355
planned,3.0,over,-0.021005372095020035,-0.0705007265119528,0.028489982321912723,15355
combined,0.5,under,0.09960458919181028,0.08175902128088802,0.11745015710273254,15590
combined,0.5,over,0.03654078420832202,0.008507309467275712,0.06457425894936833,15590
combined,1.0,under,0.0994905430698002,0.08161978600687844,0.11736130013272195,15590
combined,1.0,over,0.0467214308110338,0.015301201471366585,0.07814166015070101,15590
combined,1.5,under,0.10617114332367836,0.08684272216635769,0.12549956448099903,15590
combined,1.5,over,0.01746564530492161,-0.022732157368854394,0.057663447978697616,15590
combined,2.0,under,0.11204106192319975,0.09244502061380241,0.13163710323259709,15590
combined,2.0,over,0.030522011587218498,-0.014699123056636634,0.07574314623107363,15590
combined,2.5,under,0.1303335258773112,0.1071581725301902,0.1535088792244322,15590
combined,2.5,over,-0.025531922578258343,-0.06962313766079356,0.01855929250427687,15590
combined,3.0,under,0.1325902777864592,0.1092044640536102,0.15597609151930822,15590
combined,3.0,over,-0.02529465462664692,-0.0742209842702787,0.023631675016984863,15590
current,0.5,under,0.09228898613961695,0.075470016767307,0.1091079555119269,14692
current,0.5,over,0.08981503938737752,0.05246404481775918,0.12716603395699586,14692
current,1.0,under,0.08788296377651181,0.07134842425139516,0.10441750330162845,14692
current,1.0,over,0.0879244226229169,0.04199460799287338,0.13385423725296042,14692
current,1.5,under,0.09733051012916083,0.08027932532440715,0.11438169493391451,14692
current,1.5,over,0.11938955210267722,0.05133223445209502,0.18744686975325942,14692
current,2.0,under,0.09600715071459684,0.0786685674735767,0.11334573395561698,14692
current,2.0,over,0.08107013063423754,0.009797004380878008,0.1523432568875971,14692
current,2.5,under,0.10531428458940799,0.08560807719520816,0.12502049198360782,14692
current,2.5,over,0.08140331612852897,-0.0173931905099194,0.18019982276697732,14692
current,3.0,under,0.10721577066771773,0.0871754082823433,0.12725613305309216,14692
current,3.0,over,0.06710482704444704,-0.049561291179061634,0.1837709452679557,14692
