method,k,weighted_precision_at_k,weighted_recall_at_k,weighted_lift_at_k
absolute_gap_rule,0.05,0.24709776891781715,0.08624978006176155,1.723290278441563
absolute_gap_rule,0.1,0.24396693974216638,0.17064023017834187,1.7014554901086312
absolute_gap_rule,0.2,0.23665324112878763,0.3302394001792494,1.6504488550625698
under_remote_directional_rule,0.05,0.25423887089060226,0.08867272793325524,1.773093203255317
under_remote_directional_rule,0.1,0.2497536294314699,0.1743479403414194,1.7418125768181087
under_remote_directional_rule,0.2,0.244906120820934,0.3416895377721109,1.7080054546422032
additive_support_rule,0.05,0.27062187550626743,0.09445970437550952,1.887350295536992
additive_support_rule,0.1,0.19714959842559227,0.1382548798719963,1.3749455847109577
additive_support_rule,0.2,0.2278663717839534,0.31803325582525865,1.589168145867153
gender_children_excluded_rf,0.05,0.32925119843748746,0.11494496908335607,2.2962384157392672
gender_children_excluded_rf,0.1,0.2715222057166368,0.18951321310292366,1.8936293093286254
gender_children_excluded_rf,0.2,0.2519755322709604,0.3515139429281722,1.7573084009192532
full_restricted_rf_comparison,0.05,0.311685817824511,0.10921962307027544,2.173735287604849
full_restricted_rf_comparison,0.1,0.27662796670749085,0.19368710203355316,1.929237515416926
full_restricted_rf_comparison,0.2,0.25111061788561145,0.3504950348002773,1.751276381453906
